Honeybee,Butterfly,Date
10,>100,26_Sept_2010
10,20,26_Sept_2010
30,10,26_Sept_2010
10,>100,26_Sept_2010
20,>100,26_Sept_2010
40,>100,26_Sept_2010
5,>100,26_Sept_2010
5,>100,26_Sept_2010
10,>100,26_Sept_2010
10,>100,26_Sept_2010
10,>100,26_Sept_2010
30,>100,26_Sept_2010
40,80,26_Sept_2010
10,>100,26_Sept_2010
10,>100,26_Sept_2010
10,>100,26_Sept_2010
30,>100,26_Sept_2010
30,>100,26_Sept_2010
10,>100,26_Sept_2010
10,10,26_Sept_2010
20,70,26_Sept_2010
30,>100,29_Sept_2010
10,>100,29_Sept_2010
50,80,29_Sept_2010
10,>100,29_Sept_2010
>100,>100,29_Sept_2010
10,>100,29_Sept_2010
40,70,29_Sept_2010
>100,40,29_Sept_2010
30,20,29_Sept_2010
20,50,29_Sept_2010
50,30,29_Sept_2010
40,60,29_Sept_2010
10,>100,29_Sept_2010
10,>100,29_Sept_2010
70,90,29_Sept_2010
20,>100,29_Sept_2010
10,>100,29_Sept_2010
60,>100,29_Sept_2010
10,20,29_Sept_2010
10,40,29_Sept_2010
10,>100,29_Sept_2010
30,50,29_Sept_2010
40,>100,29_Sept_2010
>100,>100,29_Sept_2010
10,>100,29_Sept_2010
50,>100,29_Sept_2010
>100,10,29_Sept_2010
50,>100,29_Sept_2010
10,>100,29_Sept_2010
10,80,29_Sept_2010
10,>100,12_Oct_2010
10,50,12_Oct_2010
10,>100,12_Oct_2010
20,>100,12_Oct_2010
10,>100,12_Oct_2010
10,50,12_Oct_2010
10,>100,12_Oct_2010
10,20,12_Oct_2010
60,30,12_Oct_2010
30,50,12_Oct_2010
20,10,12_Oct_2010
20,>100,12_Oct_2010
20,>100,12_Oct_2010
50,20,12_Oct_2010
70,>100,12_Oct_2010
>100,10,12_Oct_2010
20,>100,12_Oct_2010
20,30,12_Oct_2010
10,20,12_Oct_2010
40,10,12_Oct_2010
30,>100,12_Oct_2010
10,>100,12_Oct_2010
10,>100,12_Oct_2010
30,>100,12_Oct_2010
10,>100,12_Oct_2010
40,>100,12_Oct_2010
40,>100,12_Oct_2010
10,>100,12_Oct_2010
10,>100,12_Oct_2010
80,10,12_Oct_2010
30,50,12_Oct_2010
10,30,12_Oct_2010
30,>100,12_Oct_2010
10,>100,12_Oct_2010
20,10,12_Oct_2010
30,>100,12_Oct_2010
20,>100,12_Oct_2010
20,>100,12_Oct_2010
30,>100,12_Oct_2010
20,>100,12_Oct_2010
20,>100,12_Oct_2010
10,>100,12_Oct_2010
50,>100,12_Oct_2010
20,>100,12_Oct_2010
10,>100,12_Oct_2010
20,40,12_Oct_2010
10,>100,12_Oct_2010
40,80,12_Oct_2010
10,30,12_Oct_2010
10,10,12_Oct_2010